taxon_id,scientific_name,rank,source_material_status,wikipedia_status,available_article_urls,botanical_source_urls,record_path
123506,Grimmia laevigata,species,taxon_matched_text,article_title_matched,https://de.wikipedia.org/wiki/Grimmia_laevigata,,taxa/123506.json
131203,Succisa pratensis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Succisa_pratensis | https://pt.wikipedia.org/wiki/Succisa_pratensis,,taxa/131203.json
167684,Racomitrium lanuginosum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Racomitrium_lanuginosum,,taxa/167684.json
335886,Ranunculus gramineus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Ranunculus_gramineus | https://pt.wikipedia.org/wiki/Ranunculus_gramineus,,taxa/335886.json
336480,Hymenophyllum wilsonii,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Hymenophyllum_wilsonii | https://pt.wikipedia.org/wiki/Hymenophyllum_wilsonii,,taxa/336480.json
342961,Lotus azoricus,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Lotus_azoricus,,taxa/342961.json
342995,Lactuca watsoniana,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Lactuca_watsoniana | https://pt.wikipedia.org/wiki/Lactuca_watsoniana,,taxa/342995.json
486302,Succisa pinnatifida,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Succisa_pinnatifida,https://www.gbif.org/species/314868470,taxa/486302.json
512051,Linaria hirta,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Linaria_hirta,https://www.gbif.org/species/314868610,taxa/512051.json
553157,Abelia chinensis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Abelia_chinensis,,taxa/553157.json
772239,Micranthes clusii,species,taxonomy_only,taxonomy_only,,,taxa/772239.json
803759,Phelipanche arenaria,species,taxonomy_only,taxonomy_only,,,taxa/803759.json
823605,Daucus edulis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Daucus_edulis,,taxa/823605.json
1062312,Pseudodictamnus hirsutus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Pseudodictamnus_hirsutus | https://pt.wikipedia.org/wiki/Ballota_hirsuta,,taxa/1062312.json
56174,Echium vulgare,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Echium_vulgare | https://pt.wikipedia.org/wiki/Echium_vulgare,,taxa/56174.json
57181,Hordeum marinum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Hordeum_marinum | https://pt.wikipedia.org/wiki/Hordeum_marinum,,taxa/57181.json
60214,Abutilon theophrasti,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Abutilon_theophrasti | https://pt.wikipedia.org/wiki/Abutilon_theophrasti,,taxa/60214.json
79317,Taraxacum erythrospermum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Taraxacum_erythrospermum,,taxa/79317.json
