taxonId,name,rank,status,language,allRawSourceTokens,selectedRawSourceTokens,selectedCleanSourceTokens,evidencePacketTokens,hasSources,draftRequestTextTokens
569461,Tetrastigma obtectum,species,taxonomy_only,,0,0,0,42,False,832
569820,Urtica thunbergiana,species,taxon_matched_text,en,1219,1219,310,429,True,1219
569865,Delosperma inconspicuum,species,taxonomy_only,,0,0,0,44,False,834
570383,Gerbera serrata,species,taxonomy_only,,0,0,0,39,False,829
570419,Felicia amoena,species,taxon_matched_text,en,3443,3443,1840,2017,True,2807
570584,Leucadendron uliginosum,species,taxon_matched_text,en,776,776,142,248,True,1038
570628,Neoregelia carcharodon,species,taxon_matched_text,en,708,708,243,370,True,1160
570694,Huernia zebrina,species,taxon_matched_text,en,693,693,145,244,True,1034
571069,Lithops salicola,species,taxon_matched_text,en,1096,1096,342,478,True,1268
571184,Gladiolus cunonius,species,taxon_matched_text,es,1155,1155,489,660,True,1450
574121,Pelargonium exstipulatum,species,taxon_matched_text,en,658,658,294,446,True,1236
574852,Aristea bakeri,species,taxon_matched_text,en,176,176,16,102,True,892
575209,Saintpauliopsis,genus,taxon_matched_text,en,1229,755,218,322,True,1112
575610,Artemisiopsis,genus,taxon_matched_text,en,745,488,57,151,True,941
577563,Eriocephalus racemosus,species,taxon_matched_text,en,824,824,212,357,True,1147
578586,Carpobrotus dimidiatus,species,taxon_matched_text,en,600,600,254,397,True,1187
579132,Adromischus umbraticola,species,taxonomy_only,,0,0,0,47,False,837
579454,Albuca nelsonii,species,taxon_matched_text,de,1526,1526,745,893,True,1683
579597,Aloe candelabrum,species,taxon_matched_text,pt,985,985,192,305,True,1095
579655,Aloe reitzii,species,taxon_matched_text,en,1687,773,219,317,True,1107
579681,Aloiampelos tenuior,species,taxon_matched_text,en,2664,1749,688,862,True,1652
580179,Argyroderma testiculare,species,taxon_matched_text,en,568,568,174,285,True,1075
580639,Asparagus declinatus,species,taxon_matched_text,en,355,355,60,145,True,935
582488,Clutia pulchella,species,taxon_matched_text,en,1051,1051,367,513,True,1303
582804,Corpuscularia britteniae,species,taxonomy_only,,0,0,0,43,False,833
582906,Crassula dependens,species,taxonomy_only,,0,0,0,40,False,830
582926,Crassula lanceolata,species,taxonomy_only,,0,0,0,41,False,831
582956,Crassula rogersii,species,taxonomy_only,,0,0,0,43,False,833
583575,Delosperma testaceum,species,taxonomy_only,,0,0,0,41,False,831
